DISPLAY origin=(0,0) px=1512x982 physical_mm=301.2x195.6
place device flat on desk, press EnterOpening /dev/cu.usbmodem101 at 921600 baud
GYRO BIAS dps=[7.46709, 3.9045, 0.25038] std_dps=[0.50967, 0.43893, 0.49747]
CALIBRATION position_mm=[41.1, 61.9, -495.3] quaternion_wxyz=[0.68519, -0.12651, 0.03027, -0.71665]
Opening /dev/cu.usbmodem101 at 921600 baud
TRACK MOVING  rate=  1 Hz  drift=  +0.00 deg/min  peak=    7.2/2048 dps  cursor=no intersection  ray_az/el=+102.5/-3.4deg hit_mm=none
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   36.9/2048 dps  cursor=761,842  ray_az/el=-5.1/-8.6deg hit_mm=-3.3,-75.4
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   81.8/2048 dps  cursor=460,980  ray_az/el=-11.8/-22.9deg hit_mm=-62.7,-213.6
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   81.8/2048 dps  cursor=151,980  ray_az/el=-18.0/-35.5deg hit_mm=-120.2,-371.2
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   81.8/2048 dps  cursor=343,980  ray_az/el=-13.7/-28.2deg hit_mm=-80.0,-273.5
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   81.8/2048 dps  cursor=663,980  ray_az/el=-6.6/-13.7deg hit_mm=-16.1,-121.8
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   66.3/2048 dps  cursor=921,563  ray_az/el=-0.7/-1.3deg hit_mm=+35.2,-11.1
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   66.3/2048 dps  cursor=1016,379  ray_az/el=+1.7/+3.2deg hit_mm=+56.0,+27.6
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   66.3/2048 dps  cursor=994,198  ray_az/el=+0.4/+6.8deg hit_mm=+44.9,+59.3
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   66.3/2048 dps  cursor=933,94  ray_az/el=-1.0/+9.2deg hit_mm=+32.4,+80.2
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   40.4/2048 dps  cursor=885,46  ray_az/el=-1.9/+10.3deg hit_mm=+24.6,+90.0
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   40.4/2048 dps  cursor=866,29  ray_az/el=-2.4/+10.7deg hit_mm=+20.7,+93.5
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   19.6/2048 dps  cursor=876,2  ray_az/el=-1.9/+11.3deg hit_mm=+25.0,+98.6
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   17.2/2048 dps  cursor=886,0  ray_az/el=-1.7/+11.7deg hit_mm=+26.5,+103.0
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   17.2/2048 dps  cursor=888,0  ray_az/el=-1.7/+11.8deg hit_mm=+26.7,+103.9
TRACK MOVING  rate=218 Hz  drift=  +0.00 deg/min  peak=   17.2/2048 dps  cursor=874,0  ray_az/el=-2.0/+12.0deg hit_mm=+24.2,+104.9
